WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2025-000641,Kings,17136 Idaho AVE,19S,20E,14,M19S20E14,380.0,Water Supply Domestic,1736294400000,36.27012508333333,-119.76521469444444,ocr,36.27012508333333,-119.76521469444444,36.2701251,-119.7652147,pdfs/WCR2025-000641.pdf,,South Fork Kings GSA
WCR2025-001495,Kings,7664 41 HWY,18S,20E,16,M18S20E16,400.0,Water Supply Domestic,1734652800000,36.36382527777778,-119.81106508333333,ocr,36.36382527777778,-119.81106508333333,36.3638253,-119.8110651,pdfs/WCR2025-001495.pdf,,South Fork Kings GSA
WCR2025-001496,Kings,7664 41 HWY,18S,20E,16,M18S20E16,,Water Supply Domestic,1734652800000,36.363847972222224,-119.81116097222223,ocr,36.363847972222224,-119.81116097222223,36.363848,-119.811161,pdfs/WCR2025-001496.pdf,,South Fork Kings GSA
WCR2025-000844,Kings,17136 Idaho AVE,19S,20E,14,M19S20E14,211.0,Water Supply Domestic,1736467200000,36.270049388888886,-119.7651905,ocr,36.270049388888886,-119.7651905,36.2700494,-119.7651905,pdfs/WCR2025-000844.pdf,,South Fork Kings GSA
WCR2025-000857,Kings,,18S,20E,28,M18S20E28,28.0,Water Supply Domestic,1721692800000,36.338648,-119.806837,gis,,,36.338648,-119.806837,pdfs/WCR2025-000857.pdf,,South Fork Kings GSA
WCR2025-001531,Fresno,22022 Maple AVE,17S,20E,36,M17S20E36,500.0,Water Supply Irrigation - Agriculture,1730764800000,36.41606697222222,-119.74901197222222,ocr,36.41606697222222,-119.74901197222222,36.416067,-119.749012,pdfs/WCR2025-001531.pdf,,South Fork Kings GSA
WCR2025-006415,Kings,,18S,20E,22,M18S20E22,580.0,Water Supply Irrigation - Agriculture,1434585600000,36.356223,-119.79116,gis,,,36.356223,-119.79116,,,South Fork Kings GSA
WCR2025-006930,Kings,16888 INDEX AVE,19S,20E,13,M19S20E13,500.0,Water Supply Domestic,1748995200000,36.275483,-119.761231,gis,,,36.275483,-119.761231,,,South Fork Kings GSA
WCR2025-006931,Kings,16888 INDEX AVE,19S,20E,13,M19S20E13,25.0,Water Supply Domestic,1748908800000,36.276088,-119.760978,gis,,,36.276088,-119.760978,,,South Fork Kings GSA
WCR2025-006932,Kings,257 HOGAN DR,19S,20E,11,M19S20E11,500.0,Water Supply Domestic,1748995200000,36.2855026,-119.7780742,gis,,,36.2855026,-119.7780742,,,South Fork Kings GSA
WCR2025-006933,Kings,257 HOGAN DR,19S,20E,11,M19S20E11,110.0,Water Supply Domestic,1748908800000,36.285501,-119.777937,gis,,,36.285501,-119.777937,,,South Fork Kings GSA
WCR2025-007964,Kings,7761 20 1/2 AVE,18S,20E,17,M18S20E17,53.0,Water Supply Irrigation - Agriculture,1718582400000,36.361955,-119.82364,gis,,,36.361955,-119.82364,,,South Fork Kings GSA
WCR2025-008762,Kings,7317 16th AVE,18S,21E,18,M18S21E18,360.0,Water Supply Domestic,1755129600000,36.3672619,-119.7441889,gis,,,36.3672619,-119.7441889,,,South Fork Kings GSA
WCR2026-000599,Kings,19601 Lacey BLVD,18S,20E,33,M18S20E33,238.0,Water Supply Domestic,1757030400000,36.327642,-119.809001,gis,,,36.327642,-119.809001,,,South Fork Kings GSA
WCR2026-000605,Kings,,18S,20E,21,M18S20E21,230.0,Water Supply Domestic,1746748800000,36.353221,-119.810259,gis,,,36.353221,-119.810259,,,South Fork Kings GSA
WCR2026-000624,Kings,,18S,20E,29,M18S20E29,52.0,Water Supply Irrigation - Agriculture,1762732800000,36.328343,-119.82025,gis,,,36.328343,-119.82025,,,South Fork Kings GSA
WCR2026-000743,Kings,16749 Houston AVE,19S,20E,12,M19S20E12,65.0,Water Supply Domestic,1767830400000,36.296003,-119.754163,gis,,,36.296003,-119.754163,,,South Fork Kings GSA
WCR2026-000882,Kings,20357 FLINT AVE,18S,20E,17,M18S20E17,50.0,Water Supply Irrigation - Agriculture,1768953600000,36.37296,-119.822682,gis,,,36.37296,-119.822682,,,South Fork Kings GSA
WCR2026-000887,Kings,9140 21ST AVE,18S,20E,30,M18S20E30,50.0,Water Supply Domestic,1751932800000,36.342074,-119.83502,gis,,,36.342074,-119.83502,,,South Fork Kings GSA
WCR2026-001413,Kings,19860 Fremont AVE,18S,20E,16,M18S20E16,240.0,Water Supply Domestic,1754006400000,36.366992,-119.803386,gis,,,36.366992,-119.803386,,,South Fork Kings GSA
WCR2026-001475,Kings,19860 FREMONT AVE,18S,20E,16,M18S20E16,,Water Supply Domestic,1762905600000,36.366712,-119.813809,gis,,,36.366712,-119.813809,,,South Fork Kings GSA
WCR2026-001876,Kings,270 HOGAN DR,19S,20E,11,M19S20E11,500.0,Water Supply Domestic,1771372800000,36.286527,-119.777122,gis,,,36.286527,-119.777122,,,South Fork Kings GSA
